Rid(0),id(1),desc_scale(2),desc_id(3),num_prog(4),pid(5),upid(6),desc_pid(7),phantom(8),sam_mvir(9),mvir(10),rvir(11),rs(12),vrms(13),mmp?(14),scale_of_last_MM(15),vmax(16),x(17),y(18),z(19),vx(20),vy(21),vz(22),Jx(23),Jy(24),Jz(25),Spin(26),Breadth_first_ID(27),Depth_first_ID(28),Tree_root_ID(29),Orig_halo_ID(30),Snap_num(31),Next_coprogenitor_depthfirst_ID(32),Last_progenitor_depthfirst_ID(33),Last_mainleaf_depthfirst_ID(34),Tidal_Force(35),Tidal_ID(36),Rs_Klypin(37),Mmvir_all(38),M200b(39),M200c(40),M500c(41),M2500c(42),Xoff(43),Voff(44),Spin_Bullock(45),b_to_a(46),c_to_a(47),A[x](48),A[y](49),A[z](50),b_to_a(500c)(51),c_to_a(500c)(52),A[x](500c)(53),A[y](500c)(54),A[z](500c)(55),T/|U|(56),M_pe_Behroozi(57),M_pe_Diemer(58),Macc(59),Mpeak(60),Vacc(61),Vpeak(62),Halfmass_Scale(63),Acc_Rate_Inst(64),Acc_Rate_100Myr(65),Acc_Rate_1*Tdyn(66),Acc_Rate_2*Tdyn(67),Acc_Rate_Mpeak(68),Mpeak_Scale(69),Acc_Scale(70),First_Acc_Scale(71),First_Acc_Mvir(72),First_Acc_Vmax(73),Vmax\@Mpeak(74),Tidal_Force_Tdyn(75),Log_(Vmax/Vmax_max(Tdyn;Tmpeak))(76),Time_to_future_merger(77),Future_merger_MMP_ID(78),AHF-G3X follows as HIDs(79),Mgas(80),Mstar(81),Tgas mw(82),Tgas sl(83),Yx(84),Ysz(85)
1.0,12654286216.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,20096000000000.0,20096000000000.0,553.197998,62.682999,471.730011,1.0,0.7173,456.170013,664.17957,205.8049,956.91302,459.13,-1187.54,818.18,156200000000000.0,52200000000000.0,30930000000000.0,0.02622,1124184555.0,1124184555.0,12654286216.0,85636859.0,125.0,-1.0,1124186863.0,1124184637.0,0.53916,12663401752.0,67.8919,20218000000000.0,22531000000000.0,16438000000000.0,12974000000000.0,6173700000000.0,14.5767,32.3,0.02697,0.59116,0.54623,-20.2861,28.4311,6.63775,0.48266,0.4666,-17.0393,24.0466,3.63209,0.6041,22250000000000.0,11910000000000.0,20096000000000.0,20096000000000.0,456.170013,513.51001,0.7016,972.2,972.2,397.6,1078.0,2287.0,1.0,1.0,1.0,20100000000000.0,456.17,456.17,0.48862,0.01093,-1.0,12654286216.0,128000000000031.0,868587115178.916,338717835118.52075,0.4886245131492615,0.5631113052368164,424412956282.01935,0.11788552564274243
1.0,12663368518.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,13202000000000.0,13202000000000.0,480.910004,71.968002,381.440002,1.0,0.369,386.660004,678.84326,192.26085,945.92834,-384.26,344.24,304.04,41550000000000.0,49600000000000.0,81350000000000.0,0.03384,1365968403.0,1365968403.0,12663368518.0,94719161.0,125.0,-1.0,1365970216.0,1365968490.0,0.36263,12663401752.0,67.3008,13305000000000.0,14679000000000.0,10853000000000.0,8057000000000.0,3579900000000.0,14.5503,11.24,0.03369,0.86583,0.74088,-11.808,-7.20691,26.8686,0.89574,0.69338,-0.34346,-4.93006,22.8386,0.5537,13750000000000.0,9248000000000.0,13202000000000.0,13202000000000.0,386.660004,430.390015,0.4406,783.4,783.4,419.6,405.6,366.1,1.0,1.0,1.0,13200000000000.0,386.66,386.66,0.35156,-0.00274,-1.0,12663368518.0,128000000000038.0,479362630193.51825,241448779859.92935,0.40042737126350403,0.4926060438156128,191949917890.34973,0.058351354329574535
1.0,12654286207.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,16156300000000.0,15671000000000.0,509.19101,92.196999,391.850006,1.0,0.7666,395.109985,664.39343,205.47458,955.83887,278.53,-963.16,1298.31,124300000000000.0,133000000000000.0,-15860000000000.0,0.04295,1264740680.0,1264740680.0,12654286207.0,85636850.0,125.0,-1.0,1264743206.0,1264740774.0,0.78923,12654286216.0,87.6364,15677000000000.0,17336000000000.0,12137000000000.0,8234600000000.0,3784600000000.0,22.3289,12.87,0.04449,0.68231,0.48632,11.5318,-17.3907,35.4528,0.57836,0.45694,8.56409,-13.6334,27.3761,0.5556,15930000000000.0,12010000000000.0,15671000000000.0,16201000000000.0,395.109985,456.119995,0.6565,-805.4,-805.4,31.65,1527.0,1535.0,0.9357,1.0,1.0,15670000000000.0,395.11,410.49,0.6551,-0.03321,-1.0,12654286207.0,128000000000040.0,504558851204.5924,187471955517.99222,0.4190463423728943,0.4637800455093384,211433541109.15387,0.06802665867895134
1.0,12654287689.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,11995000000000.0,11995000000000.0,465.779999,43.868999,409.200012,1.0,0.4309,404.390015,663.15424,201.40123,960.21631,955.34,-543.18,-965.2,-5619000000000.0,-46600000000000.0,35060000000000.0,0.02256,1423745500.0,1423745500.0,12654287689.0,85638332.0,125.0,-1.0,1423747745.0,1423745609.0,0.69366,12663401752.0,44.9014,12280000000000.0,13576000000000.0,10494000000000.0,8373100000000.0,4281400000000.0,3.43211,17.47,0.02228,0.68858,0.47207,22.784,-13.2613,-22.9763,0.64113,0.44439,-17.0928,11.3956,20.3387,0.5984,14460000000000.0,6490000000000.0,11995000000000.0,11995000000000.0,404.390015,440.589996,0.4406,264.3,264.3,145.1,83.32,190.0,1.0,1.0,1.0,12000000000000.0,404.39,404.39,0.61168,0.00644,-1.0,12654287689.0,128000000000041.0,447289049011.6333,232556834806.65085,0.45985516905784607,0.5224690437316895,205688181250.96783,0.05575593591053724
2.0,12568957065.0,0.0,-1.0,69.0,-1.0,-1.0,-1.0,0.0,2610900000000000.0,2610900000000000.0,2801.841064,451.979004,2402.030029,1.0,0.5032,2230.550049,6.2965,61.28468,512.03265,20.72,178.14,-170.87,1.728e+17,2.375e+16,-3.086e+17,0.01453,176974.0,176974.0,12568957065.0,269661.0,125.0,-1.0,381001.0,177079.0,0.0,-1.0,414.097,2611600000000000.0,2824400000000000.0,2243600000000000.0,1628100000000000.0,576640000000000.0,141.675,115.86,0.01711,0.65206,0.40556,-84.7323,200.746,37.7052,0.63615,0.40544,-40.683,147.359,41.5456,0.6676,2842000000000000.0,2003000000000000.0,2610900000000000.0,2610900000000000.0,2230.550049,2382.76001,0.5876,134000.0,134000.0,132200.0,56950.0,106100.0,1.0,1.0,1.0,2611000000000000.0,2230.55,2230.55,0.0,0.01524,-1.0,12568957065.0,128000000000001.0,225411474517255.56,21538483892256.043,11.385795593261719,10.848064422607422,2566488973229194.5,635.8759767054614
2.0,12568954357.0,0.0,-1.0,3.0,-1.0,-1.0,-1.0,0.0,94410000000000.0,94410000000000.0,926.513977,220.468002,781.700012,1.0,0.6712,679.890015,2.15744,58.29819,505.36221,997.67,395.23,1235.85,-34570000000000.0,9155000000000000.0,-5228000000000000.0,0.09033,425127277.0,425127277.0,12568954357.0,266953.0,125.0,-1.0,425133108.0,425127376.0,0.58744,12568957065.0,247.235,99051000000000.0,103900000000000.0,66377000000000.0,44015000000000.0,20608000000000.0,130.672,175.35,0.12873,0.51721,0.46886,63.5306,24.8178,8.71264,0.67329,0.53688,40.0793,-8.65573,-2.24163,0.7529,95110000000000.0,91480000000000.0,94410000000000.0,94410000000000.0,679.890015,694.090027,0.6008,8026.0,8026.0,13090.0,6321.0,8064.0,1.0,1.0,1.0,94410000000000.0,679.89,679.89,0.53643,0.01123,-1.0,12568954357.0,128000000000005.0,4656247908768.273,755501061710.4927,1.1469664573669434,1.2678419351577759,5340560168542.186,1.4270716418405627
2.0,12568954446.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,44850000000000.0,43631000000000.0,716.328003,87.262001,585.609985,1.0,0.7498,591.320007,2.33013,57.70549,507.34937,804.34,145.94,916.09,-561000000000000.0,-763500000000000.0,639900000000000.0,0.05152,733916556.0,733916556.0,12568954446.0,267042.0,125.0,-1.0,733921480.0,733916651.0,0.76838,12568954357.0,87.4423,43838000000000.0,48114000000000.0,35248000000000.0,26343000000000.0,13401000000000.0,12.6961,14.4,0.05053,0.62922,0.51505,-7.98769,40.5149,-2.2778,0.58292,0.46701,-6.85048,32.4517,-1.03212,0.5585,45140000000000.0,25980000000000.0,43631000000000.0,45165000000000.0,591.320007,677.52002,0.7333,-1976.0,-1976.0,114.7,5393.0,5232.0,0.9152,1.0,1.0,43630000000000.0,591.32,617.15,0.69416,-0.03099,-1.0,12568954446.0,128000000000009.0,1387154653242.2144,374078818251.57574,0.7395228147506714,0.7564826607704163,1025832513660.174,0.35322484251077324
2.0,12568953628.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,28835000000000.0,28835000000000.0,623.950989,84.331001,529.900024,1.0,0.5498,512.0,7.6497,47.13784,507.27719,534.3,-304.78,976.61,-6878000000000.0,-802400000000000.0,500700000000000.0,0.07897,932589991.0,932589991.0,12568953628.0,266224.0,125.0,-1.0,932592575.0,932590095.0,0.82387,12568953499.0,78.4832,29539000000000.0,34099000000000.0,23403000000000.0,17091000000000.0,8480000000000.0,36.8041,45.89,0.08338,0.78032,0.61319,27.6571,4.3141,18.6621,0.72561,0.60747,20.1517,4.26649,15.961,0.615,29560000000000.0,18320000000000.0,28835000000000.0,28835000000000.0,512.0,597.330017,0.5378,2463.0,2463.0,1197.0,527.2,884.3,1.0,1.0,1.0,28840000000000.0,512.0,512.0,0.76491,0.00342,-1.0,12568953628.0,128000000000010.0,650474411246.2777,388071523477.68353,1.0100141763687134,0.6453057527542114,656988376723.8329,0.372943791211222
2.0,12568920920.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,29902000000000.0,29902000000000.0,631.557007,93.736,522.880005,1.0,0.1246,500.769989,3.98016,60.66988,502.65561,39.37,-132.06,1299.08,-602700000000000.0,425200000000000.0,-62230000000000.0,0.05806,914349001.0,914349001.0,12568920920.0,233516.0,125.0,-1.0,914351580.0,914349110.0,0.52035,12568957065.0,95.4898,29973000000000.0,32300000000000.0,24860000000000.0,17127000000000.0,8049400000000.0,27.5606,20.01,0.06142,0.58631,0.40911,-28.2043,-18.8942,35.468,0.50717,0.3856,23.3446,20.7638,-19.4345,0.6014,31160000000000.0,20360000000000.0,29902000000000.0,29902000000000.0,500.769989,573.080017,0.4922,2621.0,2621.0,2243.0,3085.0,1851.0,1.0,1.0,1.0,29900000000000.0,500.77,500.77,0.48634,-0.00323,-1.0,12568920920.0,128000000000011.0,1226498951407.948,221554928594.10175,0.6398977637290955,0.7140224575996399,784833936222.0265,0.23474533634158729
2.0,12568953628.0,0.0,-1.0,2.0,-1.0,-1.0,-1.0,0.0,28835000000000.0,28835000000000.0,623.950989,84.331001,529.900024,1.0,0.5498,512.0,7.6497,47.13784,507.27719,534.3,-304.78,976.61,-6878000000000.0,-802400000000000.0,500700000000000.0,0.07897,932589991.0,932589991.0,12568953628.0,266224.0,125.0,-1.0,932592575.0,932590095.0,0.82387,12568953499.0,78.4832,29539000000000.0,34099000000000.0,23403000000000.0,17091000000000.0,8480000000000.0,36.8041,45.89,0.08338,0.78032,0.61319,27.6571,4.3141,18.6621,0.72561,0.60747,20.1517,4.26649,15.961,0.615,29560000000000.0,18320000000000.0,28835000000000.0,28835000000000.0,512.0,597.330017,0.5378,2463.0,2463.0,1197.0,527.2,884.3,1.0,1.0,1.0,28840000000000.0,512.0,512.0,0.76491,0.00342,-1.0,12568953628.0,128000000000012.0,1380062517063.4702,323906868599.2606,1.1059900522232056,0.8955196142196655,1526335415318.316,0.6518459892576012
